City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lorengau,PG,26.970000000000027,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
4,Puerto Ayora,EC,26.980000000000018,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Maceió,BR,26.689999999999998,few clouds,-9.6658,-35.7353,Poutur Pousada
29,Hilo,US,27.110000000000014,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Hong Kong,HK,29.980000000000018,overcast clouds,22.2855,114.1577,Mini Hotel Central
38,Kavieng,PG,27.910000000000025,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
48,Maţāy,EG,26.80000000000001,clear sky,28.419,30.7792,Nag Aespen
54,Bonthe,SL,27.960000000000036,broken clouds,7.5264,-12.505,Bonthe Holiday Village
65,Piracuruca,BR,27.150000000000034,broken clouds,-3.9281,-41.7092,Pousada Piracuruca
77,Sorong,ID,25.670000000000016,scattered clouds,-0.8833,131.25,waigo splash hotel
78,Fortuna,US,26.900000000000034,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
79,Butaritari,KI,27.590000000000032,light rain,3.0707,172.7902,Isles Sunset Lodge
89,Bandundu Province,CD,25.900000000000034,broken clouds,-3.3167,17.3667,Coja Color
105,Hithadhoo,MV,28.360000000000014,broken clouds,-0.6,73.0833,Scoop Guest House
109,Natal,BR,25.720000000000027,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
110,Avarua,CK,26.03000000000003,few clouds,-21.2078,-159.775,Paradise Inn
112,Atuona,PF,26.310000000000002,clear sky,-9.8,-139.0333,Villa Enata
117,Atuona,PF,26.310000000000002,clear sky,-9.8,-139.0333,Villa Enata
122,Marsh Harbour,BS,25.730000000000018,broken clouds,26.5412,-77.0636,Abaco Beach Resort
128,Hilo,US,27.110000000000014,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
130,Avarua,CK,26.03000000000003,few clouds,-21.2078,-159.775,Paradise Inn
139,Hithadhoo,MV,28.360000000000014,broken clouds,-0.6,73.0833,Scoop Guest House
147,Moralillo,MX,28.379999999999995,scattered clouds,22.2167,-97.9,Hotel San Antonio
153,Abnūb,EG,29.49000000000001,clear sky,27.2696,31.1511,Romany Adly Gad
167,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
168,Barreirinha,BR,27.110000000000014,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
171,Alofi,NU,25.220000000000027,overcast clouds,-19.0595,-169.9187,Taloa Heights
174,Chaman,PK,25.07000000000005,clear sky,30.9236,66.4512,Niamat parda Center chaman
194,Butaritari,KI,27.590000000000032,light rain,3.0707,172.7902,Isles Sunset Lodge
198,Pagudpud,PH,25.980000000000018,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
199,Atuona,PF,26.310000000000002,clear sky,-9.8,-139.0333,Villa Enata
207,Puerto Ayora,EC,26.980000000000018,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
216,Hithadhoo,MV,28.360000000000014,broken clouds,-0.6,73.0833,Scoop Guest House
218,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
224,Teahupoo,PF,27.980000000000018,scattered clouds,-17.8333,-149.2667,Vanira Lodge
229,Butaritari,KI,27.590000000000032,light rain,3.0707,172.7902,Isles Sunset Lodge
230,Alofi,NU,25.220000000000027,overcast clouds,-19.0595,-169.9187,Taloa Heights
232,Dunmore Town,BS,25.170000000000016,broken clouds,25.5,-76.65,Coral Sands Hotel
244,Dhing,IN,26.650000000000034,few clouds,26.4667,92.4667,Girl's Dormitory
250,Muli,MV,28.560000000000002,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
257,Touros,BR,26.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
281,San Cristobal,VE,26.100000000000023,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
283,Riberalta,BO,27.620000000000005,overcast clouds,-10.9833,-66.1,Hotel Colonial
291,Hambantota,LK,26.720000000000027,overcast clouds,6.1241,81.1185,Bungalow 63
292,San Juan de los Morros,VE,27.07000000000005,broken clouds,9.9115,-67.3538,Hotel La Montaña
294,Qiongshan,CN,26.99000000000001,clear sky,20.0058,110.3542,Sun City Restaurant
297,Hilo,US,27.110000000000014,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
304,Itoman,JP,25.010000000000048,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
306,Butaritari,KI,27.590000000000032,light rain,3.0707,172.7902,Isles Sunset Lodge
307,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
314,Hong Kong,HK,29.620000000000005,overcast clouds,22.2855,114.1577,Mini Hotel Central
320,Khatauli,IN,29.210000000000036,clear sky,29.2833,77.7167,OYO 49518 Hotel Chetali
325,Puerto Ayacucho,VE,28.610000000000014,light rain,5.6639,-67.6236,Posada Turistica Manapiare
336,Hambantota,LK,26.720000000000027,overcast clouds,6.1241,81.1185,Bungalow 63
340,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
341,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
344,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
350,Banda Aceh,ID,27.230000000000018,overcast clouds,5.5577,95.3222,Sulthan Hotel International
351,Puerto Ayora,EC,26.980000000000018,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
357,Dingle,PH,25.560000000000002,light rain,10.9995,122.6711,SEGAYA PROPERTY
366,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
367,Vanimo,PG,25.160000000000025,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
374,São João do Piauí,BR,28.28000000000003,clear sky,-8.3581,-42.2467,Nayra Palace Hotel
377,Dicabisagan,PH,26.57000000000005,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
383,Atuona,PF,26.310000000000002,clear sky,-9.8,-139.0333,Villa Enata
391,Frisco,US,25.620000000000005,overcast clouds,33.1507,-96.8236,Comfort Suites Frisco
392,Dingle,PH,25.560000000000002,light rain,10.9995,122.6711,SEGAYA PROPERTY
395,Hilo,US,27.110000000000014,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
397,Akdepe,TM,26.05000000000001,clear sky,42.0551,59.3788,Мой дом
402,Maragogi,BR,25.189999999999998,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
412,Half Moon Bay,US,29.230000000000018,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
413,Ternate,ID,27.30000000000001,few clouds,0.8,127.4,Grand Dafam Bela Ternate
414,Hithadhoo,MV,28.360000000000014,broken clouds,-0.6,73.0833,Scoop Guest House
441,Kavieng,PG,27.910000000000025,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
451,Hithadhoo,MV,28.360000000000014,broken clouds,-0.6,73.0833,Scoop Guest House
467,Muli,MV,28.560000000000002,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
474,Baloda Bāzār,IN,29.83000000000004,clear sky,21.6667,82.1667,STARiHOTELS Baloda Bazaar
476,Auki,SB,25.160000000000025,overcast clouds,-8.7676,160.7034,Auki Motel
478,Atuona,PF,26.310000000000002,clear sky,-9.8,-139.0333,Villa Enata
489,Hilo,US,27.670000000000016,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
492,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
493,Puerto Ayora,EC,26.980000000000018,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
496,Kapaa,US,28.180000000000007,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
503,Avarua,CK,27.03000000000003,few clouds,-21.2078,-159.775,Paradise Inn
505,Umluj,SA,29.610000000000014,overcast clouds,25.0213,37.2685,Moon light Furnished Units
512,Puerto Ayora,EC,26.980000000000018,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
514,Hithadhoo,MV,28.360000000000014,broken clouds,-0.6,73.0833,Scoop Guest House
516,Hithadhoo,MV,28.360000000000014,broken clouds,-0.6,73.0833,Scoop Guest House
518,Bathsheba,BB,28.340000000000032,scattered clouds,13.2167,-59.5167,Atlantis Hotel
